	0	1	2	3
0	COG0001	Heme biosynthesis	H	Coenzyme transport and metabolism
1	COG0002	Arginine biosynthesis	E	Amino acid transport and metabolism
2	COG0003		P	Inorganic ion transport and metabolism
3	COG0004		P	Inorganic ion transport and metabolism
4	COG0005	Purine salvage	F	Nucleotide transport and metabolism
5	COG0006		E	Amino acid transport and metabolism
6	COG0007	Cobalamine/B12 biosynthesis	H	Coenzyme transport and metabolism
7	COG0008	Heme biosynthesis	J	Translation, ribosomal structure and biogenesis
8	COG0009	tRNA modification	J	Translation, ribosomal structure and biogenesis
9	COG0010	Urea cycle	E	Amino acid transport and metabolism
10	COG0011		H	Coenzyme transport and metabolism
11	COG0012		J	Translation, ribosomal structure and biogenesis
12	COG0013	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
13	COG0014	Proline biosynthesis	E	Amino acid transport and metabolism
14	COG0015	Purine biosynthesis	F	Nucleotide transport and metabolism
15	COG0016	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
16	COG0017	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
17	COG0018	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
18	COG0019	Lysine biosynthesis	E	Amino acid transport and metabolism
19	COG0020		I	Lipid transport and metabolism
20	COG0021	Pentose phosphate pathway	G	Carbohydrate transport and metabolism
21	COG0022	Pyruvate oxidation	C	Energy production and conversion
22	COG0023	Translation factors	J	Translation, ribosomal structure and biogenesis
23	COG0024		J	Translation, ribosomal structure and biogenesis
24	COG0025		P	Inorganic ion transport and metabolism
25	COG0026	Purine biosynthesis	F	Nucleotide transport and metabolism
26	COG0027	Purine biosynthesis	F	Nucleotide transport and metabolism
27	COG0028	Isoleucine, leucine, valine biosynthesis	E	Amino acid transport and metabolism
28	COG0028	Isoleucine, leucine, valine biosynthesis	H	Coenzyme transport and metabolism
29	COG0029	NAD biosynthesis	H	Coenzyme transport and metabolism
30	COG0030	16S rRNA modification	J	Translation, ribosomal structure and biogenesis
31	COG0031	Cysteine biosynthesis	E	Amino acid transport and metabolism
32	COG0033		G	Carbohydrate transport and metabolism
33	COG0034	Purine biosynthesis	F	Nucleotide transport and metabolism
34	COG0035	Pyrimidine salvage	F	Nucleotide transport and metabolism
35	COG0036	Pentose phosphate pathway	G	Carbohydrate transport and metabolism
36	COG0037	tRNA modification	J	Translation, ribosomal structure and biogenesis
37	COG0038		P	Inorganic ion transport and metabolism
38	COG0039	TCA cycle	C	Energy production and conversion
39	COG0040	Histidine biosynthesis	E	Amino acid transport and metabolism
40	COG0041	Purine biosynthesis	F	Nucleotide transport and metabolism
41	COG0042	tRNA modification	J	Translation, ribosomal structure and biogenesis
42	COG0043	Ubiquinone biosynthesis	H	Coenzyme transport and metabolism
43	COG0044	Pyrimidine biosynthesis	F	Nucleotide transport and metabolism
44	COG0045	TCA cycle	C	Energy production and conversion
45	COG0046	Purine biosynthesis	F	Nucleotide transport and metabolism
46	COG0047	Purine biosynthesis	F	Nucleotide transport and metabolism
47	COG0048	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
48	COG0049	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
49	COG0050	Translation factors	J	Translation, ribosomal structure and biogenesis
50	COG0051	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
51	COG0052	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
52	COG0053		P	Inorganic ion transport and metabolism
53	COG0054	Riboflavin/FAD biosynthesis	H	Coenzyme transport and metabolism
54	COG0055	FoF1-type ATP synthase	C	Energy production and conversion
55	COG0056	FoF1-type ATP synthase	C	Energy production and conversion
56	COG0057	Glycolysis	G	Carbohydrate transport and metabolism
57	COG0058		G	Carbohydrate transport and metabolism
58	COG0059	Isoleucine, leucine, valine biosynthesis	E	Amino acid transport and metabolism
59	COG0059	Isoleucine, leucine, valine biosynthesis	H	Coenzyme transport and metabolism
60	COG0060	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
61	COG0061		H	Coenzyme transport and metabolism
62	COG0062		F	Nucleotide transport and metabolism
63	COG0063		F	Nucleotide transport and metabolism
64	COG0064	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
65	COG0065	Isoleucine, leucine, valine biosynthesis	E	Amino acid transport and metabolism
66	COG0066	Isoleucine, leucine, valine biosynthesis	E	Amino acid transport and metabolism
67	COG0067	Glutamine biosynthesis	E	Amino acid transport and metabolism
68	COG0068		O	Posttranslational modification, protein turnover, chaperones
69	COG0069	Glutamine biosynthesis	E	Amino acid transport and metabolism
70	COG0070	Glutamine biosynthesis	E	Amino acid transport and metabolism
71	COG0071		O	Posttranslational modification, protein turnover, chaperones
72	COG0072	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
73	COG0073		J	Translation, ribosomal structure and biogenesis
74	COG0074	TCA cycle	C	Energy production and conversion
75	COG0075	Serine biosynthesis	E	Amino acid transport and metabolism
76	COG0075	Serine biosynthesis	F	Nucleotide transport and metabolism
77	COG0076	Pantothenate/CoA biosynthesis	E	Amino acid transport and metabolism
78	COG0077	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
79	COG0078	Arginine biosynthesis	E	Amino acid transport and metabolism
80	COG0079	Cobalamine/B12 biosynthesis	E	Amino acid transport and metabolism
81	COG0080	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
82	COG0081	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
83	COG0082	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
84	COG0083	Threonine biosynthesis	E	Amino acid transport and metabolism
85	COG0084		N	Cell motility
86	COG0085	RNA polymerase	K	Transcription
87	COG0086	RNA polymerase	K	Transcription
88	COG0087	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
89	COG0088	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
90	COG0089	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
91	COG0090	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
92	COG0091	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
93	COG0092	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
94	COG0093	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
95	COG0094	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
96	COG0095	Lipoate biosynthesis	H	Coenzyme transport and metabolism
97	COG0096	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
98	COG0097	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
99	COG0098	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
100	COG0099	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
101	COG0100	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
102	COG0101	tRNA modification	J	Translation, ribosomal structure and biogenesis
103	COG0102	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
104	COG0103	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
105	COG0104	Purine biosynthesis	F	Nucleotide transport and metabolism
106	COG0105	Pyrimidine biosynthesis	F	Nucleotide transport and metabolism
107	COG0106	Histidine biosynthesis	E	Amino acid transport and metabolism
108	COG0107	Histidine biosynthesis	E	Amino acid transport and metabolism
109	COG0108	Riboflavin/FAD biosynthesis	H	Coenzyme transport and metabolism
110	COG0109		H	Coenzyme transport and metabolism
111	COG0109		I	Lipid transport and metabolism
112	COG0110		R	General function prediction only
113	COG0111	Serine biosynthesis	H	Coenzyme transport and metabolism
114	COG0112	Serine biosynthesis	E	Amino acid transport and metabolism
115	COG0113	Heme biosynthesis	H	Coenzyme transport and metabolism
116	COG0114	TCA cycle	C	Energy production and conversion
117	COG0115	Isoleucine, leucine, valine biosynthesis	E	Amino acid transport and metabolism
118	COG0115	Isoleucine, leucine, valine biosynthesis	H	Coenzyme transport and metabolism
119	COG0116	23S rRNA modification	J	Translation, ribosomal structure and biogenesis
120	COG0117	Riboflavin/FAD biosynthesis	H	Coenzyme transport and metabolism
121	COG0118	Histidine biosynthesis	E	Amino acid transport and metabolism
122	COG0119	Isoleucine, leucine, valine biosynthesis	E	Amino acid transport and metabolism
123	COG0120	Pentose phosphate pathway	G	Carbohydrate transport and metabolism
124	COG0121		R	General function prediction only
125	COG0122		L	Replication, recombination and repair
126	COG0123		Q	Secondary metabolites biosynthesis, transport and catabolism
127	COG0124	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
128	COG0125	Thymidylate biosynthesis	F	Nucleotide transport and metabolism
129	COG0126	Glycolysis	G	Carbohydrate transport and metabolism
130	COG0127		F	Nucleotide transport and metabolism
131	COG0128	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
132	COG0129	Isoleucine, leucine, valine biosynthesis	E	Amino acid transport and metabolism
133	COG0129	Isoleucine, leucine, valine biosynthesis	G	Carbohydrate transport and metabolism
134	COG0130	tRNA modification	J	Translation, ribosomal structure and biogenesis
135	COG0131	Histidine biosynthesis	E	Amino acid transport and metabolism
136	COG0132	Biotin biosynthesis	H	Coenzyme transport and metabolism
137	COG0133	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
138	COG0134	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
139	COG0135	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
140	COG0136	Lysine biosynthesis	E	Amino acid transport and metabolism
141	COG0137	Arginine biosynthesis	E	Amino acid transport and metabolism
142	COG0138	Purine biosynthesis	F	Nucleotide transport and metabolism
143	COG0139	Histidine biosynthesis	E	Amino acid transport and metabolism
144	COG0140	Histidine biosynthesis	E	Amino acid transport and metabolism
145	COG0141	Histidine biosynthesis	E	Amino acid transport and metabolism
146	COG0142	Isoprenoid biosynthesis	H	Coenzyme transport and metabolism
147	COG0143	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
148	COG0144	16S rRNA modification	J	Translation, ribosomal structure and biogenesis
149	COG0145		E	Amino acid transport and metabolism
150	COG0145		Q	Secondary metabolites biosynthesis, transport and catabolism
151	COG0146		E	Amino acid transport and metabolism
152	COG0146		Q	Secondary metabolites biosynthesis, transport and catabolism
153	COG0147	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
154	COG0147	Aromatic amino acid biosynthesis	H	Coenzyme transport and metabolism
155	COG0148	Glycolysis	G	Carbohydrate transport and metabolism
156	COG0149	Glycolysis	G	Carbohydrate transport and metabolism
157	COG0150	Purine biosynthesis	F	Nucleotide transport and metabolism
158	COG0151	Purine biosynthesis	F	Nucleotide transport and metabolism
159	COG0152	Purine biosynthesis	F	Nucleotide transport and metabolism
160	COG0153		G	Carbohydrate transport and metabolism
161	COG0154	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
162	COG0155	Cysteine biosynthesis	P	Inorganic ion transport and metabolism
163	COG0156	Biotin biosynthesis	H	Coenzyme transport and metabolism
164	COG0157	NAD biosynthesis	H	Coenzyme transport and metabolism
165	COG0158	Gluconeogenesis	G	Carbohydrate transport and metabolism
166	COG0159	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
167	COG0160	Arginine biosynthesis	E	Amino acid transport and metabolism
168	COG0161	Biotin biosynthesis	H	Coenzyme transport and metabolism
169	COG0162	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
170	COG0163	Ubiquinone biosynthesis	H	Coenzyme transport and metabolism
171	COG0164		L	Replication, recombination and repair
172	COG0165	Arginine biosynthesis	E	Amino acid transport and metabolism
173	COG0166	Glycolysis	G	Carbohydrate transport and metabolism
174	COG0167	Pyrimidine biosynthesis	F	Nucleotide transport and metabolism
175	COG0168		P	Inorganic ion transport and metabolism
176	COG0169	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
177	COG0170		O	Posttranslational modification, protein turnover, chaperones
178	COG0170		M	Cell wall/membrane/envelope biogenesis
179	COG0171	NAD biosynthesis	H	Coenzyme transport and metabolism
180	COG0172	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
181	COG0173	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
182	COG0174	Glutamine biosynthesis	E	Amino acid transport and metabolism
183	COG0175	Cysteine biosynthesis	E	Amino acid transport and metabolism
184	COG0175	Cysteine biosynthesis	H	Coenzyme transport and metabolism
185	COG0176	Pentose phosphate pathway	G	Carbohydrate transport and metabolism
186	COG0177		L	Replication, recombination and repair
187	COG0178		L	Replication, recombination and repair
188	COG0179		Q	Secondary metabolites biosynthesis, transport and catabolism
189	COG0180	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
190	COG0181	Heme biosynthesis	H	Coenzyme transport and metabolism
191	COG0182		E	Amino acid transport and metabolism
192	COG0183	Fatty acid biosynthesis	I	Lipid transport and metabolism
193	COG0184	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
194	COG0185	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
195	COG0186	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
196	COG0187		L	Replication, recombination and repair
197	COG0188		L	Replication, recombination and repair
198	COG0189	Lysine biosynthesis	E	Amino acid transport and metabolism
199	COG0189	Lysine biosynthesis	H	Coenzyme transport and metabolism
200	COG0189	Lysine biosynthesis	J	Translation, ribosomal structure and biogenesis
201	COG0189	Lysine biosynthesis	Q	Secondary metabolites biosynthesis, transport and catabolism
202	COG0190		H	Coenzyme transport and metabolism
203	COG0191	Glycolysis	G	Carbohydrate transport and metabolism
204	COG0192	Methionine biosynthesis	H	Coenzyme transport and metabolism
205	COG0193	Translation factors	J	Translation, ribosomal structure and biogenesis
206	COG0194		F	Nucleotide transport and metabolism
207	COG0195		K	Transcription
208	COG0196	Riboflavin/FAD biosynthesis	H	Coenzyme transport and metabolism
209	COG0197	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
210	COG0198	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
211	COG0199	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
212	COG0200	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
213	COG0201		U	Intracellular trafficking, secretion, and vesicular transport
214	COG0202	RNA polymerase	K	Transcription
215	COG0203	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
216	COG0204	Phospholipid biosynthesis	I	Lipid transport and metabolism
217	COG0205	Glycolysis	G	Carbohydrate transport and metabolism
218	COG0206		D	Cell cycle control, cell division, chromosome partitioning
219	COG0207	Thymidylate biosynthesis	F	Nucleotide transport and metabolism
220	COG0208	Pyrimidine salvage	F	Nucleotide transport and metabolism
221	COG0209	Pyrimidine salvage	F	Nucleotide transport and metabolism
222	COG0210		L	Replication, recombination and repair
223	COG0211	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
224	COG0212		H	Coenzyme transport and metabolism
225	COG0213	Pyrimidine salvage	F	Nucleotide transport and metabolism
226	COG0214	Pyridoxal phosphate biosynthesis	H	Coenzyme transport and metabolism
227	COG0215	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
228	COG0216	Translation factors	J	Translation, ribosomal structure and biogenesis
229	COG0217		K	Transcription
230	COG0217		J	Translation, ribosomal structure and biogenesis
231	COG0218		D	Cell cycle control, cell division, chromosome partitioning
232	COG0219	tRNA modification	J	Translation, ribosomal structure and biogenesis
233	COG0220	tRNA modification	J	Translation, ribosomal structure and biogenesis
234	COG0221		C	Energy production and conversion
235	COG0222	Ribosome 50S subunit	J	Translation, ribosomal structure and biogenesis
236	COG0223		J	Translation, ribosomal structure and biogenesis
237	COG0224	FoF1-type ATP synthase	C	Energy production and conversion
