Id	Filename	strain	days	Condition
H37Rv_day0_rep1	H37Rv_day0_rep1.wig	H37Rv	day0	H37Rv_day0
H37Rv_day0_rep2	H37Rv_day0_rep2.wig	H37Rv	day0	H37Rv_day0
H37Rv_day32_rep1	H37Rv_day32_rep1.wig	H37Rv	day32	H37Rv_day32
H37Rv_day32_rep2	H37Rv_day32_rep2.wig	H37Rv	day32	H37Rv_day32
H37Rv_day32_rep3	H37Rv_day32_rep3.wig	H37Rv	day32	H37Rv_day32
Rv0307c_day0_rep1	Rv0307c_day0_rep1.wig	Rv0307c	day0	Rv0307c_day0
Rv0307c_day0_rep2	Rv0307c_day0_rep2.wig	Rv0307c	day0	Rv0307c_day0
Rv0307c_day32_rep1	Rv0307c_day32_rep1.wig	Rv0307c	day32	Rv0307c_day32
Rv0307c_day32_rep2	Rv0307c_day32_rep2.wig	Rv0307c	day32	Rv0307c_day32
Rv0307c_day32_rep3	Rv0307c_day32_rep3.wig	Rv0307c	day32	Rv0307c_day32
Rv1432_day0_rep1	Rv1432_day0_rep1.wig	Rv1432	day0	Rv1432_day0
Rv1432_day0_rep2	Rv1432_day0_rep2.wig	Rv1432	day0	Rv1432_day0
Rv1432_day32_rep1	Rv1432_day32_rep1.wig	Rv1432	day32	Rv1432_day32
Rv1432_day32_rep2	Rv1432_day32_rep2.wig	Rv1432	day32	Rv1432_day32
Rv1432_day32_rep3	Rv1432_day32_rep3.wig	Rv1432	day32	Rv1432_day32
Rv1565c_day0_rep1	Rv1565c_day0_rep1.wig	Rv1565c	day0	Rv1565c_day0
Rv1565c_day0_rep2	Rv1565c_day0_rep2.wig	Rv1565c	day0	Rv1565c_day0
Rv1565c_day32_rep1	Rv1565c_day32_rep1.wig	Rv1565c	day32	Rv1565c_day32
Rv1565c_day32_rep2	Rv1565c_day32_rep2.wig	Rv1565c	day32	Rv1565c_day32
Rv1565c_day32_rep3	Rv1565c_day32_rep3.wig	Rv1565c	day32	Rv1565c_day32
Rv2680_day0_rep1	Rv2680_day0_rep1.wig	Rv2680	day0	Rv2680_day0
Rv2680_day0_rep2	Rv2680_day0_rep2.wig	Rv2680	day0	Rv2680_day0
Rv2680_day32_rep1	Rv2680_day32_rep1.wig	Rv2680	day32	Rv2680_day32
Rv2680_day32_rep2	Rv2680_day32_rep2.wig	Rv2680	day32	Rv2680_day32
Rv2680_day32_rep3	Rv2680_day32_rep3.wig	Rv2680	day32	Rv2680_day32
