#UTest
#yaml:
#    date: 2022-12-02 14:14:57
#    transit_version: v3.2.6
#    app_or_command_line: app
#    console_command: |
#        transit 
#    stats:
#       number_of_significant_genes: 2
#    parameters:
#       normalization: TTR
#       control_condition: Glycerol
#       experimental_condition: Cholesterol
#       n_terminus: 0.0
#       c_terminus: 0.0
#       LOESS: false
#       ignore_codon: true
#       significance_threshold: 0.05
#    
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	Log 2 FC	U Statistic	P Value	Adj P Value
Rv0001	dnaA	chromosomal replication initiation protein 	31	0	0	0	0.0	1.0	1.0
Rv0002	dnaN	DNA polymerase III subunit beta 	31	0	0	0	0.0	1.0	1.0
Rv0003	recF	recombination protein F 	35	68.38774882692196	38.05149208409277	-0.8457848736865808	524.0	0.877847418280931	1.0
Rv0004	-	hypothetical protein Rv0004 	7	0.0	8.275034700660521	3.213352679294325	1.5	1.0	1.0
Rv0005	gyrB	DNA gyrase subunit B 	42	121.25044116635772	104.88748924767309	-0.2091473898747636	12.0	0.3548665994806586	1.0
Rv0006	gyrA	DNA gyrase subunit A 	45	181.9006618404987	118.32502202444908	-0.6203956015921276	2.0	1.0	1.0
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	222.12580819857493	39.812460358455695	-2.4800850894885005	51.0	0.06684438899865441	1.0
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	176.66730946575834	230.89941695153934	0.38622942197023524	15.5	0.7724344452372022	1.0
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	7	24.485803376628827	116.17138822215774	2.2462373554323967	67.0	0.1901182476861516	1.0
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	157.44342999639804	207.02808409173142	0.3949929316041257	87.0	0.6454432441682921	1.0
Rv0011c	-	putative septation inhibitor protein 	3	0	0	0	0.0	1.0	1.0
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	16	148.96720867971206	175.56475234868836	0.23700843481202064	273.0	0.7863107191315073	1.0
Rv0013	trpG	para-aminobenzoate synthase component II 	15	48.80017755808871	2.362500610683281	-4.368499789634549	11.0	0.42188124664507265	1.0
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	24	0	0	0	0.0	1.0	1.0
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	16	18.500067311980352	258.8242082456118	3.8063701361655835	1.0	0.8	1.0
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	37	45.346831659852384	26.34668124921537	-0.7833805098251502	502.0	0.445142039325775	1.0
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	27	102.82537412726377	57.529635429018406	-0.8378190881908273	584.0	0.3689468315373874	1.0
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	25	53.3876942496406	28.12493962189462	-0.9246572429010432	100.0	0.32942272323223043	1.0
Rv0019c	-	hypothetical protein Rv0019c 	13	72.17526260768551	127.85000776589972	0.8248758914229131	130.0	0.9581911715831759	1.0
Rv0020c	TB39.8	hypothetical protein Rv0020c 	52	59.00021467064004	83.4870641924496	0.500832474482005	104.5	0.43047726495637006	1.0
Rv0021c	-	hypothetical protein Rv0021c 	22	483.5317593168573	362.52016412883603	-0.415549408790352	836.5	0.7547428504240944	1.0
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	163.78809593843147	442.7272694877139	1.434587731783294	98.5	0.326579930464013	1.0
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0	0	0	0.0	1.0	1.0
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	12	201.4207328637342	214.16709451760798	0.08852464363843009	207.0	0.8730295447920335	1.0
Rv0025	-	hypothetical protein Rv0025 	7	203.7578842245373	147.56723556564958	-0.46548344960427457	99.5	0.9664262205271641	1.0
Rv0026	-	hypothetical protein Rv0026 	14	198.52072231212648	172.61704714966703	-0.20171466110987132	208.0	0.8546694921780774	1.0
Rv0027	-	hypothetical protein Rv0027 	5	9.666701838692438	34.63336129786024	1.8410667645710035	15.0	0.6839442070621216	1.0
Rv0028	-	hypothetical protein Rv0028 	5	198.63405605782145	53.46662281407132	-1.893402538152369	26.0	0.2538330292158737	1.0
Rv0029	-	hypothetical protein Rv0029 	18	437.67492580137736	461.5320864876178	0.07657121494785807	489.5	0.6042752734801714	1.0
Rv0030	-	hypothetical protein Rv0030 	5	100.20036457623954	63.84998743733553	-0.6501295165620892	3.0	0.8	1.0
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0	0	0	0.0	1.0	1.0
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	57	318.77763045177716	233.72959969794636	-0.4477099450865348	2370.0	0.8208852709950134	1.0
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	204.76741170719876	165.9991366985475	-0.30281039313924607	24.0	0.44835164835164837	1.0
Rv0034	-	hypothetical protein Rv0034 	5	223.0608116005588	189.42979954635243	-0.23577377457891013	50.0	1.0	1.0
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	25	211.75077044928867	227.20515732112926	0.10162836412072392	982.0	0.9193647744852617	1.0
