#Zinb
#yaml:
#    date: 2023-01-18 12:15:22
#    transit_version: v4.0.0
#    app_or_command_line: app
#    console_command: transit 
#    calculation_time: 37.7seconds
#    analysis_type: Zinb
#    files:
#       combined_wig: /Users/jeffhykin/repos/transit/src/pytransit/../..//src/pytransit/data/cholesterol_glycerol.transit/comwig.tsv
#       annotation_path: /Users/jeffhykin/repos/transit/src/pytransit/../..//src/pytransit/data/cholesterol_glycerol.transit/annotation.H37Rv.prot_table
#    parameters:
#       normalization: TTR
#       n_terminus: 0.0
#       c_terminus: 0.0
#       pseudocount: 5.0
#       should_append_gene_descriptions: true
#    group_names: [Cholesterol, Glycerol]
#    lfc_columns: [Log 2 FC Cholesterol, Log 2 FC Glycerol]
#    mean_columns: [Mean Cholesterol, Mean Glycerol]
#    summary_info:
#       Hits: 100
#    
#Rv	Gene	TA Sites	Mean Cholesterol	Mean Glycerol	Log 2 FC Cholesterol	Log 2 FC Glycerol	Non Zero Mean Cholesterol	Non Zero Mean Glycerol	Non Zero Percentage Cholesterol	Non Zero Percentage Glycerol	P Value	Adj P Value	Status	Gene Annotation
Rv0001	dnaA	31	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	chromosomal replication initiation protein 
Rv0002	dnaN	31	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	DNA polymerase III subunit beta 
Rv0003	recF	35	21.7	17.9	0.108	-0.116	134.0	73.6	0.16	0.24	0.627400559836323	1.0	-	recombination protein F 
Rv0004	-	7	0.0	2.4	-0.306	0.252	0.0	33.1	0.00	0.07	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	hypothetical protein Rv0004 
Rv0005	gyrB	42	2.8	8.7	-0.469	0.353	87.1	244.4	0.03	0.04	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	DNA gyrase subunit B 
Rv0006	gyrA	45	1.9	4.4	-0.245	0.209	85.2	199.9	0.02	0.02	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	DNA gyrase subunit A 
Rv0007	-	10	42.2	13.0	0.533	-0.854	180.7	65.2	0.23	0.20	0.6405733601641	1.0	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 
Rv0008c	-	4	153.2	182.8	-0.129	0.118	262.7	243.7	0.58	0.75	0.785877657423814	1.0	-	POSSIBLE MEMBRANE PROTEIN 
Rv0009	ppiA	7	71.6	137.2	-0.515	0.379	187.9	160.1	0.38	0.86	0.024998411621621	0.38511066552226947	-	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 
Rv0010c	-	10	135.8	141.2	-0.027	0.027	452.8	313.7	0.30	0.45	0.764274529843236	1.0	-	PROBABLE CONSERVED MEMBRANE PROTEIN 
Rv0011c	-	3	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	putative septation inhibitor protein 
Rv0012	-	16	82.7	195.2	-0.715	0.476	180.3	297.5	0.46	0.66	0.0719456005738781	0.6722785627395167	-	PROBABLE CONSERVED MEMBRANE PROTEIN 
Rv0013	trpG	15	2.2	0.5	0.180	-0.206	50.3	16.0	0.04	0.03	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	para-aminobenzoate synthase component II 
Rv0014c	pknB	24	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 
Rv0015c	pknA	16	9.5	18.7	-0.400	0.313	151.5	299.6	0.06	0.06	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 
Rv0016c	pbpA	37	10.2	15.2	-0.221	0.191	81.0	66.3	0.13	0.23	0.415471198094354	1.0	-	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 
Rv0017c	rodA	27	39.4	39.6	-0.004	0.004	122.6	112.6	0.32	0.35	0.824754307487207	1.0	-	PROBABLE CELL DIVISION PROTEIN RODA 
Rv0018c	ppp	25	9.6	12.1	-0.121	0.111	72.0	50.6	0.13	0.24	0.536695103069078	1.0	-	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 
Rv0019c	-	13	28.2	137.3	-1.402	0.697	100.0	274.5	0.28	0.50	0.0341176448969685	0.45573990453416063	-	hypothetical protein Rv0019c 
Rv0020c	TB39.8	52	13.6	9.9	0.151	-0.168	132.2	85.7	0.10	0.12	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	hypothetical protein Rv0020c 
Rv0021c	-	22	428.8	235.7	0.363	-0.486	673.8	305.1	0.64	0.77	0.255458447963161	1.0	-	hypothetical protein Rv0021c 
